,name,gender,all_time_final_score
2296,Clive Owen,2,119.75288562334424
2,Mark Hamill,2,119.41231544165561
54882,Morena Baccarin,1,119.31066697393838
1905,Vincent Price,2,118.98805767887787
4783,Sam Neill,2,118.62251133810688
21007,Jonah Hill,2,118.02947692102755
658,Alfred Molina,2,117.84216102346424
6972,Ian McShane,2,116.9569720972343
368,Reese Witherspoon,1,116.58808365154712
1125,Ewen Bremner,2,116.36336601028128
2295,Mickey Rourke,2,116.30981726956394
1038,Jodie Foster,1,116.26958769155617
2229,Catherine Keener,1,116.24394030441566
13784,Burt Lancaster,2,116.13338245778142
15152,James Earl Jones,0,116.0156477456311
8293,Marion Cotillard,1,115.69021073534245
521,Michael J. Fox,2,115.36854187546406
73421,Joaquin Phoenix,2,115.35494891411862
8447,Jeff Daniels,2,115.29717536043555
16851,Josh Brolin,2,115.29580241505644
1336,Jet Li,2,115.1312396134029
1121,Benicio del Toro,2,114.97035106073632
2130,Cary Elwes,2,114.91929817888393
83002,Jessica Chastain,1,114.68629938226907
41686,Neil Patrick Harris,2,114.62509242473435
8930,John Cleese,0,114.32495721471687
30614,Ryan Gosling,2,113.96690061463858
11477,Ray Liotta,2,113.45271420756357
17647,Michelle Rodriguez,1,113.12072442960313
35742,Shah Rukh Khan,2,112.91426490617732
44735,Jesse Eisenberg,2,112.86478415613009
1276,Patricia Clarkson,1,112.74968984073108
3051,Toni Collette,1,112.56083293254237
55638,Kevin Hart,2,112.38887820480166
32747,Stephen Lang,2,112.1216625151761
19274,Seth Rogen,2,111.79332490214766
9195,Hiroyuki Sanada,0,111.77849866469188
124747,Pierre Coffin,2,111.38013664555373
879,Billy Bob Thornton,2,110.94562992138799
1579,Maggie Gyllenhaal,1,110.84586840440728
2395,Whoopi Goldberg,1,110.3886761802968
1271,Andy García,2,110.09853436861331
2224,Christian Slater,2,110.07815002561252
10017,Charlton Heston,2,110.07497018604577
10431,Jennifer Jason Leigh,1,109.65907222271379
2955,Chris Cooper,2,109.56085327584368
28633,Richard Jenkins,2,109.45999189638894
12074,John Lithgow,2,109.29555301235152
3234,Joan Cusack,1,108.763875015309
20750,Judy Greer,1,108.48329140476667
82093,Daniel Henney,2,108.26585242419108
2638,Cary Grant,2,107.88754732200785
96066,Liam Hemsworth,2,107.70283894875111
8487,Gregory Peck,2,107.68926189077173
9191,Timothy Spall,2,107.59381254945798
5048,Harry Dean Stanton,2,107.4834240250681
5657,Anjelica Huston,1,107.26024851136125
4491,Jennifer Aniston,1,107.2305315075889
1137,Juliette Binoche,1,107.00531119972985
589,Daryl Hannah,1,106.52997964502289
5309,Judi Dench,1,106.5129461473133
78324,Jamie Chung,1,106.29290394005677
996701,Miles Teller,2,106.18252351870633
20286,Toby Kebbell,2,105.74151142533756
10959,Shia LaBeouf,2,105.65558363244011
6161,Jennifer Connelly,1,105.48610662428732
2778,Dennis Hopper,2,104.83407615167395
52792,Maya Rudolph,1,104.80628155242346
7060,Martin Freeman,2,104.77574489080084
5294,Chiwetel Ejiofor,2,104.51093274917332
1903,Alan Arkin,2,104.30590421565707
6952,Charlie Sheen,2,104.21433043853176
17178,Patrick Wilson,2,104.04471437314868
350,Laura Linney,1,103.82104764028915
23532,Jason Bateman,2,103.78768253160747
3490,Adrien Brody,2,103.67587741673753
5081,Emily Blunt,1,103.47801927365674
3623,Elena Anaya,1,103.44417424573797
4756,Matthew Broderick,2,103.36232237385411
53,Peter Stormare,2,103.20425830828013
8534,Kathy Bates,1,103.10268814980948
19278,Bill Hader,2,102.67198938460987
1019,Mads Mikkelsen,2,102.62524811099726
588,M. Emmet Walsh,2,102.43798358386604
3037,Richard Dreyfuss,2,102.16420950114723
3141,Marisa Tomei,1,101.97797826861536
38673,Channing Tatum,2,101.9638049380797
3968,Michael Sheen,2,101.87760568868104
2882,Diane Lane,1,101.85039850879747
4785,Jeff Goldblum,2,101.68519872815199
21089,Bruce Greenwood,2,101.33926822035706
10814,Wesley Snipes,2,101.25565429284005
65827,Keith David,2,101.238970657334
8289,Billy Crudup,2,100.65817867895875
335,Michael Shannon,2,100.04252862305677
13333,Vanessa Redgrave,1,99.58615401570633
8984,Bill Pullman,2,99.56394392009247
3872,Daniel Brühl,2,99.56159358968839
54693,Emma Stone,1,99.4193515167625
7036,Eric Stoltz,2,99.38382482752957
13014,Toby Jones,2,99.0161571456588
84223,Anna Kendrick,1,98.68667891825208
91606,Tom Hiddleston,2,98.64119923375667
3151,Jack Lemmon,2,98.59711009136412
1923,Robbie Coltrane,2,98.2392068381346
87722,Noomi Rapace,1,98.22680699749156
955,Penélope Cruz,1,97.98023453658556
1047649,Ed Skrein,2,97.91253776887041
115150,Kaya Scodelario,1,97.81058329166684
18050,Elle Fanning,1,97.66032491832595
12898,Tim Allen,2,97.60998340341908
20212,Dermot Mulroney,2,97.41254595412337
15761,Grey Griffin,1,97.3352503875384
12077,Jim Cummings,2,96.94554035182739
11390,Peter O'Toole,2,96.8681908141642
2219,Tobey Maguire,2,96.26733435057383
543261,Karen Gillan,1,96.22777977880739
13922,Seth Green,2,96.20149404726655
2628,Kiefer Sutherland,2,95.85106663418142
237455,Sam Claflin,2,95.84197803238202
3136,Salma Hayek,1,95.5668990841603
18269,Brendan Fraser,2,95.48718102274405
8785,Ciarán Hinds,2,95.41641685646249
1639,Emily Watson,0,95.30613308927724
1328,Sean Astin,2,95.29397470659515
1893,Casey Affleck,2,95.24874474736221
2876,Matt Dillon,2,95.24452861271344
13022,Tom Berenger,2,95.21727509543071
72855,Felicity Jones,1,95.1464612758979
454,Michael Peña,2,94.96899938618245
10993,Tom Felton,2,94.65160919732782
938,Djimon Hounsou,2,94.64342673743467
6886,Christina Ricci,1,94.38312921670351
59450,Katy Mixon,1,94.36410732607507
5470,Kristin Scott Thomas,1,94.29139338623264
18354,Bridget Moynahan,1,94.17264362098918
2954,Jeffrey Wright,2,94.13432617900455
7499,Jared Leto,2,94.12642852064849
20089,Jena Malone,1,94.03501189946827
194,Richard Harris,2,93.96459902201673
12248,Alec Guinness,2,93.57073581355193
6944,Octavia Spencer,1,93.56172050940764
4960,Charles Bronson,2,93.52215272902399
3291,Hugh Grant,2,93.43620336165007
2090,Kirk Douglas,2,93.15809399126802
7450,Toshirō Mifune,2,92.92970082329265
8783,Eric Bana,2,92.12333950500073
56890,Malcolm McDowell,2,92.08212241395032
35,Sally Field,1,92.0743261295726
3416,Demi Moore,1,91.63448348167482
530,Carrie-Anne Moss,1,91.59840987568892
2449,Kevin McNally,2,91.5940016998868
60898,Sebastian Stan,2,91.53285586526451
27105,Ed Helms,2,91.41784184596376
18686,Holly Hunter,1,91.14781578539376
3910,Frances McDormand,1,90.9012725471788
550843,Elizabeth Olsen,1,90.48875779727094
11181,Kenneth Branagh,2,90.46001653185816
6574,Clancy Brown,2,90.42700518693634
19492,Viola Davis,1,90.22503753006154
6450,Faye Dunaway,1,90.21210728911875
1665,Eddie Marsan,2,90.15383621632252
1216606,Gugu Mbatha-Raw,1,89.63152921155078
9778,Ice Cube,2,89.59567953616099
50,Catherine Deneuve,1,89.59528736126272
52,David Morse,2,89.57657649597137
2091,James Mason,2,89.47278300787612
15758,Queen Latifah,1,89.33462517924615
11064,David Strathairn,2,89.2327131443014
4391,Charles Dance,2,88.91869319243786
378,Jonathan Pryce,2,88.90549750945581
5,Peter Cushing,2,88.8557325700367
11355,Jason Isaacs,2,88.61176224955614
4937,Vince Vaughn,2,88.33723799975151
23626,Liev Schreiber,2,88.30937124920479
1736,James Remar,2,88.02562384636633
56734,Chloë Grace Moretz,1,87.51510713994921
6837,Walter Matthau,2,87.48384116364454
9137,Renée Zellweger,1,86.9974236520788
12900,Wallace Shawn,2,86.93784854809027
78110,Scott Adkins,2,86.8912745397462
349,Scott Glenn,2,86.84794254476812
15111,Jean-Claude Van Damme,2,86.79316020536952
9221,Donald Pleasence,2,86.4994633267245
2632,Chris Rock,2,86.46201204093956
382,Bob Hoskins,2,86.40536721353563
882,Liv Tyler,1,86.30327293684871
71586,Alfie Allen,2,86.12177197983672
58225,Zach Galifianakis,2,85.98669304950943
80602,Tyler Perry,2,85.97042909198827
1370,Brad Dourif,2,85.93680739100981
2453,Mary Steenburgen,1,85.72778899128728
17141,Greg Kinnear,2,85.60287873415682
49,Maria Bello,1,85.51778414198115
