id,name,gender,all_time_final_score
11155,Thomas Jane,2,79.5661309
13848,Charlie Chaplin,2,79.48106063
10823,Kris Kristofferson,2,79.40710104
5538,Ray Winstone,2,79.36663071
11705,Michelle Monaghan,1,79.29898057
21028,Anton Yelchin,2,79.24207827
1294,Missi Pyle,1,79.22130041
25072,Oscar Isaac,2,79.16303256
7502,Ernest Borgnine,2,78.89662373
236696,Terry Notary,0,78.79847065
1932,Audrey Hepburn,0,78.73635781
13550,Elias Koteas,2,78.67733916
8654,Matthew Modine,2,78.63119786
8944,Jamie Lee Curtis,1,78.50421935
8436,Miranda Richardson,1,78.46643703
586,Sean Young,1,78.43164389
10912,Eva Green,1,78.35450632
13565,Steve McQueen,2,78.26651351
21657,Vera Farmiga,1,78.21105623
1308445,Carrie Coon,1,78.14361193
44079,Charlotte Rampling,1,78.04444504
15033,Justin Long,2,77.98836594
13,Albert Brooks,2,77.9590048
33192,Joel Edgerton,2,77.6022168
12021,Mia Farrow,0,77.54109122
589162,Génesis Rodríguez,1,77.49381073
886,William Fichtner,2,77.46402194
17832,Carla Gugino,1,77.44358562
10430,Fred Ward,2,77.42922781
5587,Hank Azaria,2,77.38512096
3197,Tom Sizemore,2,77.29929928
2165,Rosanna Arquette,1,76.92063522
56731,Jessica Alba,1,76.90549236
4589,Benjamin Bratt,2,76.73992183
54812,Chevy Chase,2,76.50936486
18288,Terrence Howard,2,76.4934473
78452,Gina Carano,1,76.47944522
88995,Adrianne Palicki,1,76.44927917
3292,Nicholas Hoult,2,76.40994316
71070,Amanda Seyfried,1,76.22327814
1936,Martin Balsam,2,76.14396725
9278,Jennifer Garner,1,75.81608902
26485,Jim Belushi,2,75.56449028
59233,Scoot McNairy,2,75.54077365
12834,Barry Pepper,2,75.43345274
40481,Luis Guzmán,2,75.42105862
4139,Tom Skerritt,2,75.36822852
7505,Roddy McDowall,2,75.35053406
5149,Bonnie Hunt,1,75.31101258
527393,Dylan O'Brien,2,75.25111753
6355,Roy Scheider,2,75.21199115
6486,Dan Hedaya,2,75.16893779
4726,Marcia Gay Harden,1,75.1524959
33,Gary Sinise,2,75.07207016
16475,Burt Reynolds,2,74.87802029
10158,Robert Mitchum,2,74.87262071
1337,Tony Leung Chiu-Wai,2,74.80311294
3491,Thomas Kretschmann,2,74.57921865
1620,Michelle Yeoh,1,74.5649094
20766,Richard E. Grant,2,74.33293789
90496,Masako Nozawa,0,74.27134361
12073,Mike Myers,2,74.27116699
14888,Bruce McGill,2,74.21735317
40,Orson Welles,2,74.16652351
36422,Luke Wilson,2,74.15651002
21315,Eric Roberts,2,74.13311909
7907,John Ratzenberger,2,74.03992197
6573,William Sadler,2,74.0049568
29222,Zac Efron,2,73.97173296
587,Edward James Olmos,2,73.96776977
1772,Anna Faris,1,73.91811204
21165,Kim Dickens,1,73.91121502
6352,Jane Fonda,1,73.73731808
1340664,Ava Acres,1,73.73028209
1812,Michelle Williams,1,73.71676682
9780,Angela Bassett,1,73.6032102
25246,Andy Lau,2,73.59723378
326,Kim Basinger,1,73.5398926
18973,Mila Kunis,1,73.51423669
69122,Heather Graham,1,73.46467808
28641,Terence Stamp,2,73.42126911
8167,Paul Walker,2,73.34321944
99,Amanda Plummer,1,73.18101205
4029,Bob Gunton,2,73.10534292
8329,Radha Mitchell,1,72.91966013
12799,Jeremy Piven,2,72.75276698
10767,Barbara Hershey,1,72.65471272
11107,Ben Foster,2,72.63998123
4808,Giancarlo Esposito,2,72.5847207
8688,Diego Luna,2,72.39772354
37632,Eddie Redmayne,2,72.27254308
1462,Tim Blake Nelson,2,72.222908
58224,Jason Sudeikis,2,72.04234062
7026,Rhys Ifans,2,71.91322779
34982,Jeff Bennett,2,71.8316491
15277,Jon Favreau,2,71.71978918
258,Gael García Bernal,2,71.67631456
14343,Rene Russo,1,71.5966899
1922,Catherine Zeta-Jones,1,71.55459372
16866,Jennifer Lopez,1,71.48691652
78423,Omar Sy,2,71.46780097
38940,Evan Rachel Wood,1,71.43827522
12446,Peter Sellers,2,71.30972198
8924,Frank Langella,2,71.28822431
11664,Zooey Deschanel,1,71.11920666
1372,Karl Urban,2,71.08199406
27428,Aaron Taylor-Johnson,2,71.03678176
8767,Jim Caviezel,2,71.01219364
418,Robert Patrick,2,70.92790811
63,Milla Jovovich,1,70.91871707
1247,Matthew Goode,2,70.70800855
31531,John DiMaggio,0,70.67725067
14974,Barbara Stanwyck,1,70.61988819
57599,Seann William Scott,2,70.58868551
15250,Hope Davis,1,70.49942877
11663,Patrick Fugit,2,70.36997533
13472,Tim Curry,2,70.27099961
973,Jason Flemyng,2,70.24018454
2467,James Cosmo,2,70.22495884
7664,Joseph Cotten,2,70.16976157
14887,Paddy Considine,2,70.0566183
2880,Emilio Estevez,2,69.97607843
4430,Sharon Stone,1,69.88561125
449,Jay Baruchel,2,69.82311538
1237,Flea,2,69.7534067
1017347,Brenton Thwaites,2,69.69860924
58395,Karin Konoval,1,69.65491889
825,Stacy Keach,2,69.57435055
11514,Catherine O'Hara,0,69.55413348
10822,Stephen Dorff,2,69.42278629
56322,Amy Poehler,1,69.39315168
10872,Patton Oswalt,2,69.3707113
59231,Joel David Moore,2,69.32150739
51072,Kate Mara,1,69.30221721
21200,Will Arnett,2,69.29599967
27578,Ellen Page,1,69.20657761
1829985,Lilly Aspell,1,69.1532751
3460,Gene Wilder,2,69.07159203
4443,Christopher McDonald,2,69.03918117
23459,Sienna Miller,1,68.91796253
7180,John Candy,2,68.81460779
20904,James Hong,2,68.80478954
5694,Robert Forster,2,68.76002962
1265060,Dave Rosenbaum,0,68.73132617
187565,Audra McDonald,1,68.71999343
11367,Bradley Whitford,2,68.68090675
723,Patrick Swayze,2,68.59623997
1737,David Patrick Kelly,2,68.57584594
15556,Rebecca Hall,1,68.49568889
9994,Helen Hunt,1,68.47956694
478,Jamie Bell,2,68.43450096
3982,Xander Berkeley,2,68.34410832
72095,Lee Pace,2,68.28725614
655,John Rhys-Davies,2,68.10183927
11159,Cheech Marin,2,67.98332753
9560,Ellen Burstyn,1,67.95530812
17882,Isabelle Huppert,1,67.90148029
26510,Eugene Levy,2,67.89862426
19588,Miyu Irino,0,67.77084233
7166,Kevin Pollak,2,67.63424797
11111,Lucy Davis,1,67.63211242
56365,Charlie Hunnam,2,67.42684664
18023,Robert Carlyle,2,67.34567971
93210,Domhnall Gleeson,2,67.34234816
16896,James Garner,2,67.33599568
4068,Gary Cooper,2,67.32260317
532,Joe Pantoliano,2,67.30410593
138,Quentin Tarantino,2,67.26588833
7570,Lauren Bacall,1,67.20204161
9575,Jada Pinkett Smith,1,67.05494191
6280,Powers Boothe,2,66.9764538
8977,Craig T. Nelson,2,66.89679481
1748,William Shatner,2,66.85012939
